POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
4810,Arendal,Meglerhuset,3000031,3000047
4812,Arendal,Meglerhuset,3000031,3000047
4815,Arendal,Meglerhuset,3000031,3000047
4816,Arendal,Meglerhuset,3000031,3000047
4817,Arendal,Meglerhuset,3000031,3000047
4818,Arendal,Meglerhuset,3000031,3000047
4820,Arendal,Meglerhuset,3000031,3000047
4821,Arendal,Meglerhuset,3000031,3000047
4823,Arendal,Meglerhuset,3000031,3000047
4824,Arendal,Meglerhuset,3000031,3000047
4825,Arendal,Meglerhuset,3000031,3000047
4827,Arendal,Meglerhuset,3000031,3000047
4828,Arendal,Meglerhuset,3000031,3000047
4830,Arendal,Meglerhuset,3000031,3000047
4832,Arendal,Meglerhuset,3000031,3000047
4834,Arendal,Meglerhuset,3000031,3000047
4836,Arendal,Meglerhuset,3000031,3000047
4838,Arendal,Meglerhuset,3000031,3000047
4839,Arendal,Meglerhuset,3000031,3000047
4841,Arendal,Meglerhuset,3000031,3000047
4842,Arendal,Meglerhuset,3000031,3000047
4843,Arendal,Meglerhuset,3000031,3000047
4844,Arendal,Meglerhuset,3000031,3000047
4846,Arendal,Meglerhuset,3000031,3000047
4847,Arendal,Meglerhuset,3000031,3000047
4848,Arendal,Meglerhuset,3000031,3000047
4849,Arendal,Meglerhuset,3000031,3000047
4863,Arendal,Meglerhuset,3000031,3000047
4865,Arendal,Meglerhuset,3000031,3000047
4868,Arendal,Meglerhuset,3000031,3000047
4869,Arendal,Meglerhuset,3000031,3000047
4870,Arendal,Meglerhuset,3000031,3000047
4876,Arendal,Meglerhuset,3000031,3000047
4877,Arendal,Meglerhuset,3000031,3000047
4878,Arendal,Meglerhuset,3000031,3000047
4879,Arendal,Meglerhuset,3000031,3000047
4885,Arendal,Meglerhuset,3000031,3000047
4886,Arendal,Meglerhuset,3000031,3000047
4887,Arendal,Meglerhuset,3000031,3000047
4888,Arendal,Meglerhuset,3000031,3000047
4900,Arendal,Meglerhuset,3000031,3000047
4909,Arendal,Meglerhuset,3000031,3000047
4910,Arendal,Meglerhuset,3000031,3000047
4912,Arendal,Meglerhuset,3000031,3000047
4915,Arendal,Meglerhuset,3000031,3000047
4916,Arendal,Meglerhuset,3000031,3000047
4920,Arendal,Meglerhuset,3000031,3000047
4934,Arendal,Meglerhuset,3000031,3000047
4950,Arendal,Meglerhuset,3000031,3000047
4956,Arendal,Meglerhuset,3000031,3000047
4957,Arendal,Meglerhuset,3000031,3000047
4980,Arendal,Meglerhuset,3000031,3000047
4985,Arendal,Meglerhuset,3000031,3000047
4990,Arendal,Meglerhuset,3000031,3000047
4993,Arendal,Meglerhuset,3000031,3000047
4994,Arendal,Meglerhuset,3000031,3000047
,,,,
3220,Larvik,Leinæs,3000011,3000014
3231,Larvik,Leinæs,3000011,3000014
3256,Larvik,Leinæs,3000011,3000014
3257,Larvik,Leinæs,3000011,3000014
3258,Larvik,Leinæs,3000011,3000014
3259,Larvik,Leinæs,3000011,3000014
3260,Larvik,Leinæs,3000011,3000014
3261,Larvik,Leinæs,3000011,3000014
3262,Larvik,Leinæs,3000011,3000014
3263,Larvik,Leinæs,3000011,3000014
3264,Larvik,Leinæs,3000011,3000014
3265,Larvik,Leinæs,3000011,3000014
3267,Larvik,Leinæs,3000011,3000014
3268,Larvik,Leinæs,3000011,3000014
3269,Larvik,Leinæs,3000011,3000014
3270,Larvik,Leinæs,3000011,3000014
3271,Larvik,Leinæs,3000011,3000014
3274,Larvik,Leinæs,3000011,3000014
3275,Larvik,Leinæs,3000011,3000014
3277,Larvik,Leinæs,3000011,3000014
3280,Larvik,Leinæs,3000011,3000014
3282,Larvik,Leinæs,3000011,3000014
3290,Larvik,Leinæs,3000011,3000014
3292,Larvik,Leinæs,3000011,3000014
3294,Larvik,Leinæs,3000011,3000014
3295,Larvik,Leinæs,3000011,3000014
3296,Larvik,Leinæs,3000011,3000014
3297,Larvik,Leinæs,3000011,3000014
3947,Larvik,Leinæs,3000011,3000014
,,,,
4005,Stavanger,Huus,3000032,3000051
4006,Stavanger,Huus,3000032,3000051
4007,Stavanger,Huus,3000032,3000051
4008,Stavanger,Huus,3000032,3000051
4009,Stavanger,Huus,3000032,3000051
4010,Stavanger,Huus,3000032,3000051
4011,Stavanger,Huus,3000032,3000051
4012,Stavanger,Huus,3000032,3000051
4013,Stavanger,Huus,3000032,3000051
4014,Stavanger,Huus,3000032,3000051
4015,Stavanger,Huus,3000032,3000051
4016,Stavanger,Huus,3000032,3000051
4017,Stavanger,Huus,3000032,3000051
4018,Stavanger,Huus,3000032,3000051
4019,Stavanger,Huus,3000032,3000051
4020,Stavanger,Huus,3000032,3000051
4021,Stavanger,Huus,3000032,3000051
4022,Stavanger,Huus,3000032,3000051
4023,Stavanger,Huus,3000032,3000051
4024,Stavanger,Huus,3000032,3000051
4025,Stavanger,Huus,3000032,3000051
4026,Stavanger,Huus,3000032,3000051
4027,Stavanger,Huus,3000032,3000051
4028,Stavanger,Huus,3000032,3000051
